# x [cm], ne [cm-3], Z, T [eV], gradT, cLogei, Knx, Qlocx [W/cm2], Qx [W/cm2]
0, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 1.86426e+08
0.000187962, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 2.24713e+10
0.000375925, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 4.5473e+10
0.000563887, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 6.77157e+10
0.00075185, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 9.00339e+10
0.000939812, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 1.12187e+11
0.00112777, 4.65917e+20, 1.99918, 2550.78, 0, 2.12, 0, -0, 1.35278e+11
0.00131574, 4.65899e+20, 1.99918, 2550.78, -31.6769, 2.12, -0.000181287, 1.16215e+12, 1.57525e+11
0.0015037, 4.65878e+20, 1.99918, 2550.77, -33.7851, 2.12, -0.000193361, 1.23949e+12, 1.79781e+11
0.00169166, 4.6586e+20, 1.99918, 2550.77, -35.8513, 2.12, -0.000205194, 1.31528e+12, 2.02481e+11
0.00187962, 4.65845e+20, 1.99918, 2550.76, -37.8753, 2.12, -0.000216785, 1.38953e+12, 2.24455e+11
0.00206759, 4.65832e+20, 1.99918, 2550.75, -39.8572, 2.12, -0.000228134, 1.46223e+12, 2.4647e+11
0.00225555, 4.65822e+20, 1.99918, 2550.74, -41.797, 2.12, -0.000239242, 1.53338e+12, 2.68665e+11
0.00244351, 4.65814e+20, 1.99918, 2550.74, -43.6947, 2.12, -0.000250107, 1.60299e+12, 2.9066e+11
0.00263147, 4.65809e+20, 1.99918, 2550.73, -45.5502, 2.12, -0.00026073, 1.67105e+12, 3.12525e+11
0.00281944, 4.65806e+20, 1.99918, 2550.72, -47.3637, 2.12, -0.000271111, 1.73756e+12, 3.35256e+11
0.0030074, 4.65806e+20, 1.99919, 2550.71, -49.135, 2.12, -0.000281249, 1.80253e+12, 3.56658e+11
0.00319536, 4.65808e+20, 1.99919, 2550.7, -50.8642, 2.12, -0.000291145, 1.86595e+12, 3.78767e+11
0.00338332, 4.65812e+20, 1.99919, 2550.69, -52.5513, 2.12, -0.000300798, 1.92782e+12, 4.00633e+11
0.00357129, 4.65819e+20, 1.99919, 2550.68, -54.1963, 2.12, -0.000310208, 1.98814e+12, 4.22708e+11
0.00375925, 4.65828e+20, 1.99919, 2550.67, -55.8001, 2.12, -0.00031938, 2.04696e+12, 4.44164e+11
0.00394721, 4.65839e+20, 1.99919, 2550.66, -57.3608, 2.12, -0.000328304, 2.10419e+12, 4.66866e+11
0.00413517, 4.65852e+20, 1.99919, 2550.65, -58.8793, 2.12, -0.000336984, 2.15987e+12, 4.88574e+11
0.00432314, 4.65868e+20, 1.99919, 2550.64, -60.3558, 2.12, -0.000345421, 2.21401e+12, 5.10255e+11
0.0045111, 4.65886e+20, 1.99919, 2550.63, -61.7902, 2.12, -0.000353615, 2.2666e+12, 5.32544e+11
0.00469906, 4.65905e+20, 1.99919, 2550.62, -63.1824, 2.12, -0.000361566, 2.31764e+12, 5.54174e+11
0.00488702, 4.65927e+20, 1.99919, 2550.6, -64.5325, 2.12, -0.000369273, 2.36714e+12, 5.75894e+11
0.00507499, 4.65951e+20, 1.99919, 2550.59, -65.8405, 2.12, -0.000376736, 2.41509e+12, 5.97685e+11
0.00526295, 4.65977e+20, 1.99919, 2550.58, -67.1064, 2.12, -0.000383957, 2.46149e+12, 6.19738e+11
0.00545091, 4.66005e+20, 1.99919, 2550.57, -68.3301, 2.12, -0.000390933, 2.50635e+12, 6.41319e+11
0.00563887, 4.66034e+20, 1.99919, 2550.55, -69.5118, 2.12, -0.000397666, 2.54966e+12, 6.64133e+11
0.00582684, 4.66066e+20, 1.99919, 2550.54, -70.6514, 2.12, -0.000404157, 2.59142e+12, 6.85039e+11
0.0060148, 4.66099e+20, 1.99919, 2550.53, -71.7732, 2.12, -0.000410542, 2.63254e+12, 7.06994e+11
0.00620276, 4.66134e+20, 1.99919, 2550.51, -72.9, 2.12, -0.000416954, 2.67383e+12, 7.29247e+11
0.00639072, 4.66171e+20, 1.99919, 2550.5, -74.0319, 2.12, -0.000423392, 2.71531e+12, 7.50971e+11
0.00657869, 4.66209e+20, 1.99919, 2550.48, -75.1688, 2.12, -0.000429856, 2.75697e+12, 7.73295e+11
0.00676665, 4.66249e+20, 1.99918, 2550.47, -76.3107, 2.12, -0.000436347, 2.79881e+12, 7.94992e+11
0.00695461, 4.66291e+20, 1.99918, 2550.46, -77.4577, 2.12, -0.000442863, 2.84084e+12, 8.16922e+11
0.00714257, 4.66335e+20, 1.99918, 2550.44, -78.6097, 2.12, -0.000449405, 2.88305e+12, 8.38941e+11
0.00733054, 4.6638e+20, 1.99918, 2550.43, -79.7667, 2.12, -0.000455973, 2.92544e+12, 8.60959e+11
0.0075185, 4.66426e+20, 1.99918, 2550.41, -80.9294, 2.12, -0.000462571, 2.96804e+12, 8.82987e+11
0.00770646, 4.66474e+20, 1.99918, 2550.4, -82.0965, 2.12, -0.00046919, 3.0108e+12, 9.04856e+11
0.00789442, 4.66523e+20, 1.99918, 2550.38, -83.2686, 2.12, -0.000475836, 3.05374e+12, 9.26916e+11
0.00808239, 4.66574e+20, 1.99918, 2550.36, -84.4458, 2.12, -0.000482507, 3.09686e+12, 9.49146e+11
0.00827035, 4.66626e+20, 1.99918, 2550.35, -85.6317, 2.12, -0.000489225, 3.1403e+12, 9.70816e+11
0.00845831, 4.6668e+20, 1.99918, 2550.33, -86.8387, 2.12, -0.000496061, 3.18451e+12, 9.93696e+11
0.00864627, 4.66734e+20, 1.99918, 2550.32, -88.0679, 2.12, -0.000503021, 3.22954e+12, 1.01515e+12
0.00883424, 4.6679e+20, 1.99918, 2550.3, -89.3193, 2.12, -0.000510104, 3.27538e+12, 1.03732e+12
0.0090222, 4.66848e+20, 1.99918, 2550.28, -90.5929, 2.12, -0.000517311, 3.32203e+12, 1.06011e+12
0.00921016, 4.66906e+20, 1.99918, 2550.27, -91.8887, 2.12, -0.000524641, 3.36949e+12, 1.08175e+12
0.00939812, 4.66965e+20, 1.99918, 2550.25, -93.2067, 2.12, -0.000532095, 3.41776e+12, 1.10476e+12
0.00958609, 4.67026e+20, 1.99918, 2550.23, -94.5469, 2.12, -0.000539672, 3.46684e+12, 1.12653e+12
0.00977405, 4.67088e+20, 1.99918, 2550.21, -95.9092, 2.12, -0.000547372, 3.51673e+12, 1.14866e+12
0.00996201, 4.6715e+20, 1.99918, 2550.19, -97.2938, 2.12, -0.000555195, 3.56744e+12, 1.17124e+12
0.01015, 4.67214e+20, 1.99918, 2550.18, -98.7005, 2.12, -0.000563142, 3.61895e+12, 1.19316e+12
0.0103379, 4.67279e+20, 1.99918, 2550.16, -100.129, 2.12, -0.000571211, 3.67128e+12, 1.21588e+12
