# x [cm], ne [cm-3], Z, T [eV], gradT, cLogei, Knx, Qlocx [W/cm2], Qx [W/cm2]
0, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 1.76576e+08
0.000187962, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 3.63737e+10
0.000375925, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 7.279e+10
0.000563887, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 1.09741e+11
0.00075185, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 1.45739e+11
0.000939812, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 1.7961e+11
0.00112777, 4.65917e+20, 1.99918, 2550.78, 0, 1.9, 0, -0, 2.19704e+11
0.00131574, 4.65899e+20, 1.99918, 2550.78, -31.6769, 1.9, -0.000202279, 1.29672e+12, 2.53481e+11
0.0015037, 4.65878e+20, 1.99918, 2550.77, -33.7851, 1.9, -0.00021575, 1.38301e+12, 2.91815e+11
0.00169166, 4.6586e+20, 1.99918, 2550.77, -35.8513, 1.9, -0.000228953, 1.46758e+12, 3.27136e+11
0.00187962, 4.65845e+20, 1.99918, 2550.76, -37.8753, 1.9, -0.000241886, 1.55042e+12, 3.58908e+11
0.00206759, 4.65832e+20, 1.99918, 2550.75, -39.8572, 1.9, -0.00025455, 1.63154e+12, 3.98923e+11
0.00225555, 4.65822e+20, 1.99918, 2550.74, -41.797, 1.9, -0.000266943, 1.71093e+12, 4.34892e+11
0.00244351, 4.65814e+20, 1.99918, 2550.74, -43.6947, 1.9, -0.000279067, 1.7886e+12, 4.6955e+11
0.00263147, 4.65809e+20, 1.99918, 2550.73, -45.5502, 1.9, -0.00029092, 1.86454e+12, 5.0707e+11
0.00281944, 4.65806e+20, 1.99918, 2550.72, -47.3637, 1.9, -0.000302503, 1.93875e+12, 5.47458e+11
0.0030074, 4.65806e+20, 1.99919, 2550.71, -49.135, 1.9, -0.000313815, 2.01124e+12, 5.7578e+11
0.00319536, 4.65808e+20, 1.99919, 2550.7, -50.8642, 1.9, -0.000324856, 2.082e+12, 6.11619e+11
0.00338332, 4.65812e+20, 1.99919, 2550.69, -52.5513, 1.9, -0.000335627, 2.15104e+12, 6.49733e+11
0.00357129, 4.65819e+20, 1.99919, 2550.68, -54.1963, 1.9, -0.000346126, 2.21835e+12, 6.83732e+11
0.00375925, 4.65828e+20, 1.99919, 2550.67, -55.8001, 1.9, -0.000356361, 2.28397e+12, 7.2182e+11
0.00394721, 4.65839e+20, 1.99919, 2550.66, -57.3608, 1.9, -0.000366318, 2.34783e+12, 7.55494e+11
0.00413517, 4.65852e+20, 1.99919, 2550.65, -58.8793, 1.9, -0.000376003, 2.40996e+12, 7.90946e+11
0.00432314, 4.65868e+20, 1.99919, 2550.64, -60.3558, 1.9, -0.000385417, 2.47037e+12, 8.26633e+11
0.0045111, 4.65886e+20, 1.99919, 2550.63, -61.7902, 1.9, -0.00039456, 2.52905e+12, 8.63959e+11
0.00469906, 4.65905e+20, 1.99919, 2550.62, -63.1824, 1.9, -0.000403431, 2.586e+12, 8.95947e+11
0.00488702, 4.65927e+20, 1.99919, 2550.6, -64.5325, 1.9, -0.000412031, 2.64123e+12, 9.35585e+11
0.00507499, 4.65951e+20, 1.99919, 2550.59, -65.8405, 1.9, -0.000420359, 2.69473e+12, 9.70153e+11
0.00526295, 4.65977e+20, 1.99919, 2550.58, -67.1064, 1.9, -0.000428415, 2.74651e+12, 1.00277e+12
0.00545091, 4.66005e+20, 1.99919, 2550.57, -68.3301, 1.9, -0.000436199, 2.79656e+12, 1.04163e+12
0.00563887, 4.66034e+20, 1.99919, 2550.55, -69.5118, 1.9, -0.000443712, 2.84488e+12, 1.0726e+12
0.00582684, 4.66066e+20, 1.99919, 2550.54, -70.6514, 1.9, -0.000450954, 2.89148e+12, 1.11214e+12
0.0060148, 4.66099e+20, 1.99919, 2550.53, -71.7732, 1.9, -0.000458079, 2.93736e+12, 1.14713e+12
0.00620276, 4.66134e+20, 1.99919, 2550.51, -72.9, 1.9, -0.000465233, 2.98343e+12, 1.18114e+12
0.00639072, 4.66171e+20, 1.99919, 2550.5, -74.0319, 1.9, -0.000472417, 3.02971e+12, 1.21702e+12
0.00657869, 4.66209e+20, 1.99919, 2550.48, -75.1688, 1.9, -0.000479629, 3.0762e+12, 1.25244e+12
0.00676665, 4.66249e+20, 1.99918, 2550.47, -76.3107, 1.9, -0.000486871, 3.12289e+12, 1.2871e+12
0.00695461, 4.66291e+20, 1.99918, 2550.46, -77.4577, 1.9, -0.000494142, 3.16978e+12, 1.32289e+12
0.00714257, 4.66335e+20, 1.99918, 2550.44, -78.6097, 1.9, -0.000501441, 3.21688e+12, 1.35958e+12
0.00733054, 4.6638e+20, 1.99918, 2550.43, -79.7667, 1.9, -0.00050877, 3.26418e+12, 1.39344e+12
0.0075185, 4.66426e+20, 1.99918, 2550.41, -80.9294, 1.9, -0.000516131, 3.31171e+12, 1.43111e+12
0.00770646, 4.66474e+20, 1.99918, 2550.4, -82.0965, 1.9, -0.000523518, 3.35942e+12, 1.46402e+12
0.00789442, 4.66523e+20, 1.99918, 2550.38, -83.2686, 1.9, -0.000530933, 3.40733e+12, 1.50009e+12
0.00808239, 4.66574e+20, 1.99918, 2550.36, -84.4458, 1.9, -0.000538376, 3.45544e+12, 1.53675e+12
0.00827035, 4.66626e+20, 1.99918, 2550.35, -85.6317, 1.9, -0.000545872, 3.50391e+12, 1.57146e+12
0.00845831, 4.6668e+20, 1.99918, 2550.33, -86.8387, 1.9, -0.0005535, 3.55325e+12, 1.60824e+12
0.00864627, 4.66734e+20, 1.99918, 2550.32, -88.0679, 1.9, -0.000561266, 3.60349e+12, 1.64284e+12
0.00883424, 4.6679e+20, 1.99918, 2550.3, -89.3193, 1.9, -0.000569169, 3.65463e+12, 1.67878e+12
0.0090222, 4.66848e+20, 1.99918, 2550.28, -90.5929, 1.9, -0.00057721, 3.70668e+12, 1.71423e+12
0.00921016, 4.66906e+20, 1.99918, 2550.27, -91.8887, 1.9, -0.000585389, 3.75964e+12, 1.74978e+12
0.00939812, 4.66965e+20, 1.99918, 2550.25, -93.2067, 1.9, -0.000593706, 3.8135e+12, 1.78561e+12
0.00958609, 4.67026e+20, 1.99918, 2550.23, -94.5469, 1.9, -0.00060216, 3.86826e+12, 1.82127e+12
0.00977405, 4.67088e+20, 1.99918, 2550.21, -95.9092, 1.9, -0.000610752, 3.92393e+12, 1.85689e+12
0.00996201, 4.6715e+20, 1.99918, 2550.19, -97.2938, 1.9, -0.000619481, 3.98051e+12, 1.8931e+12
0.01015, 4.67214e+20, 1.99918, 2550.18, -98.7005, 1.9, -0.000628348, 4.03799e+12, 1.92823e+12
0.0103379, 4.67279e+20, 1.99918, 2550.16, -100.129, 1.9, -0.000637352, 4.09637e+12, 1.96464e+12
0.0105259, 4.67344e+20, 1.99918, 2550.14, -101.581, 1.9, -0.000646496, 4.15568e+12, 2.00054e+12
0.0107139, 4.67411e+20, 1.99918, 2550.12, -103.064, 1.9, -0.000655838, 4.21628e+12, 2.03632e+12
0.0109018, 4.67478e+20, 1.99918, 2550.1, -104.582, 1.9, -0.000665398, 4.27831e+12, 2.07349e+12
0.0110898, 4.67546e+20, 1.99918, 2550.08, -106.136, 1.9, -0.00067518, 4.34179e+12, 2.10804e+12
0.0112777, 4.67615e+20, 1.99918, 2550.06, -107.724, 1.9, -0.000685174, 4.40665e+12, 2.14455e+12
0.0114657, 4.67684e+20, 1.99918, 2550.04, -109.346, 1.9, -0.000695384, 4.47293e+12, 2.17974e+12
0.0116537, 4.67754e+20, 1.99918, 2550.02, -111.004, 1.9, -0.000705812, 4.54062e+12, 2.21613e+12
0.0118416, 4.67825e+20, 1.99918, 2550, -112.696, 1.9, -0.000716456, 4.60974e+12, 2.25312e+12
0.0120296, 4.67897e+20, 1.99918, 2549.98, -114.422, 1.9, -0.000727317, 4.68028e+12, 2.28725e+12
0.0122176, 4.67969e+20, 1.99918, 2549.95, -116.184, 1.9, -0.000738394, 4.75223e+12, 2.32537e+12
0.0124055, 4.68041e+20, 1.99918, 2549.93, -117.98, 1.9, -0.000749688, 4.8256e+12, 2.3603e+12
0.0125935, 4.68114e+20, 1.99918, 2549.91, -119.811, 1.9, -0.000761198, 4.90039e+12, 2.39611e+12
0.0127814, 4.68188e+20, 1.99918, 2549.89, -121.677, 1.9, -0.000772924, 4.9766e+12, 2.43435e+12
0.0129694, 4.68262e+20, 1.99918, 2549.86, -123.579, 1.9, -0.000784871, 5.05425e+12, 2.46695e+12
0.0131574, 4.68336e+20, 1.99918, 2549.84, -125.516, 1.9, -0.000797044, 5.13338e+12, 2.50622e+12
0.0133453, 4.6841e+20, 1.99918, 2549.82, -127.49, 1.9, -0.000809442, 5.21398e+12, 2.53953e+12
0.0135333, 4.68485e+20, 1.99918, 2549.79, -129.5, 1.9, -0.000822066, 5.29607e+12, 2.57628e+12
0.0137213, 4.6856e+20, 1.99918, 2549.77, -131.547, 1.9, -0.000834915, 5.37963e+12, 2.61524e+12
0.0139092, 4.68636e+20, 1.99918, 2549.74, -133.63, 1.9, -0.000847989, 5.46467e+12, 2.64782e+12
0.0140972, 4.68711e+20, 1.99918, 2549.72, -135.749, 1.9, -0.000861288, 5.55119e+12, 2.68753e+12
0.0142851, 4.68787e+20, 1.99918, 2549.69, -137.904, 1.9, -0.000874813, 5.63919e+12, 2.72152e+12
0.0144731, 4.68863e+20, 1.99918, 2549.67, -140.096, 1.9, -0.000888563, 5.72866e+12, 2.7576e+12
0.0146611, 4.68939e+20, 1.99918, 2549.64, -142.323, 1.9, -0.000902538, 5.81961e+12, 2.79565e+12
0.014849, 4.69015e+20, 1.99918, 2549.61, -144.589, 1.9, -0.000916746, 5.91209e+12, 2.8302e+12
0.015037, 4.69091e+20, 1.99918, 2549.59, -146.89, 1.9, -0.000931171, 6.006e+12, 2.86824e+12
0.015225, 4.69168e+20, 1.99918, 2549.56, -149.227, 1.9, -0.000945826, 6.10141e+12, 2.90377e+12
0.0154129, 4.69244e+20, 1.99918, 2549.53, -151.606, 1.9, -0.000960734, 6.19848e+12, 2.9398e+12
0.0156009, 4.6932e+20, 1.99918, 2549.5, -154.025, 1.9, -0.000975898, 6.29723e+12, 2.97624e+12
0.0157888, 4.69396e+20, 1.99918, 2549.47, -156.486, 1.9, -0.000991319, 6.39766e+12, 3.0129e+12
0.0159768, 4.69471e+20, 1.99918, 2549.44, -158.988, 1.9, -0.001007, 6.49977e+12, 3.04876e+12
0.0161648, 4.69547e+20, 1.99918, 2549.41, -161.532, 1.9, -0.00102293, 6.60355e+12, 3.0854e+12
